GATE_START 2026-08-11T08:47:18+00:00 rev=a517402 scope=midlayer
== baseline: cargo check --workspace
   baseline OK
== candidates enumerated: 281  (inherent `pub fn` only; trait methods are out of scope)
   crates/kayfabe-mmu/src/reach.rs:515  confirm_bind
   crates/kayfabe-mmu/src/reach.rs:520  confirm_unbind
   crates/kayfabe-mmu/src/walker.rs:780  leaf_disposition
   crates/kayfabe-mmu/src/walker.rs:870  populate

⊘ This is a REPORT, not a verdict on any one of them: a verb may be a deliberate seam
  awaiting its consumer, or a capability proven and never wired. Only a human knows
  which, and that triage is what decides what this gate eventually enforces.
GATE_EXIT_STATUS=0
GATE_DONE 2026-08-11T09:04:45+00:00
