GATE_START 2026-08-11T08:42:48+00:00 rev=a517402 scope=tail
== baseline: cargo check --workspace
   baseline OK
== candidates enumerated: 533  (inherent `pub fn` only; trait methods are out of scope)
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:6849  audit
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:7652  as_str
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:7664  parse
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:7688  isolate_plane_from
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:7787  parse
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:7804  guest_ram_source_from
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:7844  guest_ram_is_reachable_on
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:7959  forwarding_plane_owns_ce
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:7999  parse
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:8013  ce_executor_from
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:8056  fb_backing_from
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:8097  pt_witness_exec_from
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:8140  selected_mc_service_budget
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:8179  isolate_factory
   ORPHAN  crates/kayfabe-qemu-raw/src/shim_unsafe.rs:760  engine_kind_c_name
   ORPHAN  crates/kayfabe-rmrpc/src/fault.rs:119  deliver
   ORPHAN  crates/kayfabe-rmrpc/src/lib.rs:1073  translate
   ORPHAN  crates/kayfabe-rmrpc/src/lib.rs:1219  alloc_params_window
   ORPHAN  crates/kayfabe-rmrpc/src/policy.rs:107  of
   ORPHAN  crates/kayfabe-rmrpc/src/policy.rs:134  is_empty
   ORPHAN  crates/kayfabe-rmrpc/src/policy.rs:199  new
   ORPHAN  crates/kayfabe-rmrpc/src/policy.rs:395  new
   ORPHAN  crates/kayfabe-rmrpc/src/policy.rs:504  new
   ORPHAN  crates/kayfabe-rmrpc/src/policy.rs:959  new
   ORPHAN  crates/kayfabe-rmrpc/src/policy.rs:967  with_limits
   ORPHAN  crates/kayfabe-rmrpc/src/policy.rs:985  reassembler
