GATE_START 2026-08-11T08:47:19+00:00 rev=a517402 scope=devgsp
== baseline: cargo check --workspace
   baseline OK
== candidates enumerated: 458  (inherent `pub fn` only; trait methods are out of scope)
   ORPHAN  crates/kayfabe-isolate-host/src/guestram.rs:182  release
   ORPHAN  crates/kayfabe-isolate-host/src/guestram.rs:205  with_region
   ORPHAN  crates/kayfabe-isolate-host/src/guestram.rs:217  live_mappings
   ORPHAN  crates/kayfabe-isolate-host/src/isolate.rs:187  parse
   ORPHAN  crates/kayfabe-isolate-host/src/isolate.rs:250  decode_control
   ORPHAN  crates/kayfabe-isolate-host/src/isolate.rs:779  wait_for_park
   ORPHAN  crates/kayfabe-isolate-host/src/isolate.rs:834  spawn_error
   ORPHAN  crates/kayfabe-isolate-host/src/isolate.rs:840  child_pid
   ORPHAN  crates/kayfabe-isolate-host/src/isolate.rs:870  exports
   ORPHAN  crates/kayfabe-isolate-host/src/isolate.rs:1074  with_guest_ram
   ORPHAN  crates/kayfabe-isolate-host/src/isolate.rs:1084  spawned
   ORPHAN  crates/kayfabe-isolate-host/src/isolate.rs:1095  with_park
   ORPHAN  crates/kayfabe-isolate-host/src/isolate.rs:1117  is_embedded
   ORPHAN  crates/kayfabe-isolate-host/src/isolate.rs:1125  embedded
   ORPHAN  crates/kayfabe-isolate-host/src/isolate.rs:1137  spawn_host
   ORPHAN  crates/kayfabe-isolate-host/src/loopback.rs:63  parse
   ORPHAN  crates/kayfabe-isolate-host/src/loopback.rs:73  as_arg
   ORPHAN  crates/kayfabe-isolate-host/src/loopback.rs:118  new
   ORPHAN  crates/kayfabe-isolate-host/src/loopback.rs:160  new
   ORPHAN  crates/kayfabe-isolate-host/src/loopback.rs:177  with_guest_ram
   ORPHAN  crates/kayfabe-isolate-host/src/proto.rs:344  into_rm_error
   ORPHAN  crates/kayfabe-isolate-host/src/proto.rs:376  prot_code
   ORPHAN  crates/kayfabe-isolate-host/src/proto.rs:386  prot_from_code
   ORPHAN  crates/kayfabe-isolate-host/src/proto.rs:400  engine_code
   ORPHAN  crates/kayfabe-isolate-host/src/proto.rs:416  engine_from_code
   ORPHAN  crates/kayfabe-isolate-host/src/proto.rs:541  encode
   ORPHAN  crates/kayfabe-isolate-host/src/proto.rs:675  decode
   ORPHAN  crates/kayfabe-isolate-host/src/proto.rs:773  encode
   ORPHAN  crates/kayfabe-isolate-host/src/proto.rs:838  decode
   ORPHAN  crates/kayfabe-isolate-host/src/proto.rs:890  write_frame
   ORPHAN  crates/kayfabe-isolate-host/src/proto.rs:915  read_frame
   ORPHAN  crates/kayfabe-isolate-host/src/rm.rs:2106  new
   ORPHAN  crates/kayfabe-isolate-host/src/rm.rs:2116  latest
   ORPHAN  crates/kayfabe-isolate-host/src/rm.rs:2592  with_guest_ram
   ORPHAN  crates/kayfabe-isolate-host/src/rm.rs:2600  with_ce_witness
   ORPHAN  crates/kayfabe-isolate-host/src/rm.rs:2650  fill_words
   ORPHAN  crates/kayfabe-isolate-host/src/rm.rs:2683  read_words_independently
   ORPHAN  crates/kayfabe-isolate-host/src/rm.rs:3974  ring_store_u32
   ORPHAN  crates/kayfabe-isolate-host/src/rm.rs:4029  channel_ring_layout
   ORPHAN  crates/kayfabe-isolate-host/src/rm.rs:4218  ce_copy_outcome
   ORPHAN  crates/kayfabe-isolate/src/lib.rs:1178  isolate
   ORPHAN  crates/kayfabe-isolate/src/lib.rs:1184  worker
   ORPHAN  crates/kayfabe-isolate/src/lib.rs:1190  txn
   ORPHAN  crates/kayfabe-isolate/src/lib.rs:1198  request
   ORPHAN  crates/kayfabe-isolate/src/lib.rs:1205  abandon
   ORPHAN  crates/kayfabe-isolate/src/lib.rs:1243  isolate
   ORPHAN  crates/kayfabe-isolate/src/lib.rs:1249  worker
   ORPHAN  crates/kayfabe-isolate/src/lib.rs:1256  txn
   ORPHAN  crates/kayfabe-isolate/src/lib.rs:1262  reason
   ORPHAN  crates/kayfabe-isolate/src/lib.rs:1271  is_abandon
   ORPHAN  crates/kayfabe-isolate/src/lib.rs:1322  requests
   ORPHAN  crates/kayfabe-isolate/src/lib.rs:1679  handles
   ORPHAN  crates/kayfabe-isolate/src/lib.rs:1900  bare
   ORPHAN  crates/kayfabe-isolate/src/lib.rs:1961  new
   ORPHAN  crates/kayfabe-isolate/src/lib.rs:1998  txn
   ORPHAN  crates/kayfabe-isolate/src/lib.rs:2021  isolate
   ORPHAN  crates/kayfabe-isolate/src/lib.rs:2079  export_backing
   ORPHAN  crates/kayfabe-isolate/src/lib.rs:2110  map_guest_ram
   ORPHAN  crates/kayfabe-isolate/src/lib.rs:2130  unmap_guest_ram
   ORPHAN  crates/kayfabe-isolate/src/lib.rs:2804  as_str
   ORPHAN  crates/kayfabe-isolate/src/lib.rs:2867  observe_refusal
   ORPHAN  crates/kayfabe-isolate/src/lib.rs:2885  refusing
   ORPHAN  crates/kayfabe-isolate/src/lib.rs:3082  spawned
   ORPHAN  crates/kayfabe-isolate/src/lib.rs:3089  why
   ORPHAN  crates/kayfabe-isolate/src/lib.rs:3114  why

== orphan gate: 282 of 458 checked have no caller outside their own crate
   crates/kayfabe-device/src/bar2.rs:152  new
   crates/kayfabe-device/src/bar2.rs:158  pdes
   crates/kayfabe-device/src/bar2.rs:169  updates
   crates/kayfabe-device/src/bar2.rs:175  refusals
   crates/kayfabe-device/src/bar2.rs:180  publish
   crates/kayfabe-device/src/bar2.rs:194  refuse
   crates/kayfabe-device/src/bar2.rs:205  device_reset
   crates/kayfabe-device/src/bar2.rs:235  why
   crates/kayfabe-device/src/bar2.rs:256  decode_update_bar_pde
   crates/kayfabe-device/src/bar2.rs:288  new
   crates/kayfabe-device/src/bar2.rs:294  driver
   crates/kayfabe-device/src/census.rs:243  set_probe_arm
   crates/kayfabe-device/src/census.rs:249  note_served
   crates/kayfabe-device/src/census.rs:271  note_arming
   crates/kayfabe-device/src/census.rs:291  note_bind
   crates/kayfabe-device/src/census.rs:311  snapshot
   crates/kayfabe-device/src/census.rs:343  new
   crates/kayfabe-device/src/ceresolve.rs:161  trigger
   crates/kayfabe-device/src/ceresolve.rs:251  published_root
   crates/kayfabe-device/src/ceresolve.rs:321  root_from_declared_pdb
   crates/kayfabe-device/src/ceresolve.rs:410  place
   crates/kayfabe-device/src/ceresolve.rs:519  resolve
   crates/kayfabe-device/src/ceresolve.rs:689  walk_trace
   crates/kayfabe-device/src/cpuintr.rs:208  decode
