# kayfabe-mmu::walker decode of cuda/walk/corpus/real_ga106.bin
# image <name> <benign 0|1> <leaf count>
# leaf <va-hex> <phys-hex> <size-hex> <aperture 0..3> <read_only 0|1>
image real_ga106_vas_2efa4c000 1 263
leaf 1201c0000 2ef8d0000 10000 0 0
leaf 1201d0000 2ef8e0000 10000 0 0
leaf 1201e0000 2ef8f0000 10000 0 0
leaf 1201f0000 2ef900000 10000 0 0
leaf 121000000 2eee00000 200000 0 0
leaf 121200000 2ef000000 200000 0 0
leaf 121400000 2ef200000 200000 0 0
leaf 121600000 2ef400000 200000 0 0
leaf 121800000 2ef600000 200000 0 0
image real_ga106_vas_2efa6c000 1 6254
leaf 120000000 0 200000 0 0
leaf 120200000 200000 200000 0 0
leaf 120400000 400000 200000 0 0
leaf 120600000 600000 200000 0 0
leaf 120800000 800000 200000 0 0
leaf 120a00000 a00000 200000 0 0
leaf 120c00000 c00000 200000 0 0
leaf 120e00000 e00000 200000 0 0
leaf 121000000 1000000 200000 0 0
leaf 121200000 1200000 200000 0 0
leaf 121400000 1400000 200000 0 0
leaf 121600000 1600000 200000 0 0
leaf 121800000 1800000 200000 0 0
leaf 121a00000 1a00000 200000 0 0
leaf 121c00000 1c00000 200000 0 0
leaf 121e00000 1e00000 200000 0 0
leaf 122000000 2000000 200000 0 0
leaf 122200000 2200000 200000 0 0
leaf 122400000 2400000 200000 0 0
leaf 122600000 2600000 200000 0 0
leaf 122800000 2800000 200000 0 0
leaf 122a00000 2a00000 200000 0 0
leaf 122c00000 2c00000 200000 0 0
leaf 122e00000 2e00000 200000 0 0
leaf 123000000 3000000 200000 0 0
leaf 123200000 3200000 200000 0 0
leaf 123400000 3400000 200000 0 0
leaf 123600000 3600000 200000 0 0
leaf 123800000 3800000 200000 0 0
leaf 123a00000 3a00000 200000 0 0
leaf 123c00000 3c00000 200000 0 0
leaf 123e00000 3e00000 200000 0 0
leaf 124000000 4000000 200000 0 0
leaf 124200000 4200000 200000 0 0
leaf 124400000 4400000 200000 0 0
leaf 124600000 4600000 200000 0 0
leaf 124800000 4800000 200000 0 0
leaf 124a00000 4a00000 200000 0 0
leaf 124c00000 4c00000 200000 0 0
leaf 124e00000 4e00000 200000 0 0
leaf 125000000 5000000 200000 0 0
leaf 125200000 5200000 200000 0 0
leaf 125400000 5400000 200000 0 0
leaf 125600000 5600000 200000 0 0
leaf 125800000 5800000 200000 0 0
leaf 125a00000 5a00000 200000 0 0
leaf 125c00000 5c00000 200000 0 0
leaf 125e00000 5e00000 200000 0 0
leaf 126000000 6000000 200000 0 0
leaf 126200000 6200000 200000 0 0
leaf 126400000 6400000 200000 0 0
leaf 126600000 6600000 200000 0 0
leaf 126800000 6800000 200000 0 0
leaf 126a00000 6a00000 200000 0 0
leaf 126c00000 6c00000 200000 0 0
leaf 126e00000 6e00000 200000 0 0
leaf 127000000 7000000 200000 0 0
leaf 127200000 7200000 200000 0 0
leaf 127400000 7400000 200000 0 0
leaf 127600000 7600000 200000 0 0
leaf 127800000 7800000 200000 0 0
leaf 127a00000 7a00000 200000 0 0
leaf 127c00000 7c00000 200000 0 0
leaf 127e00000 7e00000 200000 0 0
leaf 128000000 8000000 200000 0 0
leaf 128200000 8200000 200000 0 0
leaf 128400000 8400000 200000 0 0
leaf 128600000 8600000 200000 0 0
leaf 128800000 8800000 200000 0 0
leaf 128a00000 8a00000 200000 0 0
leaf 128c00000 8c00000 200000 0 0
leaf 128e00000 8e00000 200000 0 0
leaf 129000000 9000000 200000 0 0
leaf 129200000 9200000 200000 0 0
leaf 129400000 9400000 200000 0 0
leaf 129600000 9600000 200000 0 0
leaf 129800000 9800000 200000 0 0
leaf 129a00000 9a00000 200000 0 0
leaf 129c00000 9c00000 200000 0 0
leaf 129e00000 9e00000 200000 0 0
leaf 12a000000 a000000 200000 0 0
leaf 12a200000 a200000 200000 0 0
leaf 12a400000 a400000 200000 0 0
leaf 12a600000 a600000 200000 0 0
leaf 12a800000 a800000 200000 0 0
leaf 12aa00000 aa00000 200000 0 0
leaf 12ac00000 ac00000 200000 0 0
leaf 12ae00000 ae00000 200000 0 0
leaf 12b000000 b000000 200000 0 0
leaf 12b200000 b200000 200000 0 0
leaf 12b400000 b400000 200000 0 0
leaf 12b600000 b600000 200000 0 0
leaf 12b800000 b800000 200000 0 0
leaf 12ba00000 ba00000 200000 0 0
leaf 12bc00000 bc00000 200000 0 0
leaf 12be00000 be00000 200000 0 0
leaf 12c000000 c000000 200000 0 0
leaf 12c200000 c200000 200000 0 0
leaf 12c400000 c400000 200000 0 0
