# tag	field	nvkvm-pv	driver-matrix	verdict
535.86.10	uvm_register_gpu_hsmcpart_off	32	32	agree
535.86.10	chan_alloc_size	360	360	agree
535.86.10	vaspace_alloc_size	48	48	agree
535.86.10	mem_alloc_size	120	120	agree
535.86.10	nv00de_alloc_size	4	4	agree
535.86.10	nvos46_size	56	56	agree
535.86.10	nvos46_status_off	48	48	agree
535.98	uvm_map_ext_size	1200	1200	agree
535.98	uvm_map_ext_fd_off	1184	1184	agree
535.98	uvm_sem_pool_size	1184	1184	agree
535.98	uvm_register_gpu_size	40	40	agree
535.98	uvm_register_gpu_fd_off	24	24	agree
535.98	uvm_register_gpu_status_off	36	36	agree
535.98	uvm_register_gpu_hclient_off	28	28	agree
535.98	uvm_register_gpu_hsmcpart_off	32	32	agree
535.98	chan_alloc_size	360	360	agree
535.98	vaspace_alloc_size	48	48	agree
535.98	mem_alloc_size	120	120	agree
535.98	nv00de_alloc_size	4	4	agree
535.98	nvos46_size	56	56	agree
535.98	nvos46_status_off	48	48	agree
535.104.05	uvm_map_ext_size	1200	1200	agree
535.104.05	uvm_map_ext_fd_off	1184	1184	agree
535.104.05	uvm_sem_pool_size	1184	1184	agree
535.104.05	uvm_register_gpu_size	40	40	agree
535.104.05	uvm_register_gpu_fd_off	24	24	agree
535.104.05	uvm_register_gpu_status_off	36	36	agree
535.104.05	uvm_register_gpu_hclient_off	28	28	agree
535.104.05	uvm_register_gpu_hsmcpart_off	32	32	agree
535.104.05	chan_alloc_size	360	360	agree
535.104.05	vaspace_alloc_size	48	48	agree
535.104.05	mem_alloc_size	120	120	agree
535.104.05	nv00de_alloc_size	4	4	agree
535.104.05	nvos46_size	56	56	agree
535.104.05	nvos46_status_off	48	48	agree
535.104.12	uvm_map_ext_size	1200	1200	agree
535.104.12	uvm_map_ext_fd_off	1184	1184	agree
535.104.12	uvm_sem_pool_size	1184	1184	agree
535.104.12	uvm_register_gpu_size	40	40	agree
535.104.12	uvm_register_gpu_fd_off	24	24	agree
535.104.12	uvm_register_gpu_status_off	36	36	agree
535.104.12	uvm_register_gpu_hclient_off	28	28	agree
535.104.12	uvm_register_gpu_hsmcpart_off	32	32	agree
535.104.12	chan_alloc_size	360	360	agree
535.104.12	vaspace_alloc_size	48	48	agree
535.104.12	mem_alloc_size	120	120	agree
535.104.12	nv00de_alloc_size	4	4	agree
535.104.12	nvos46_size	56	56	agree
535.104.12	nvos46_status_off	48	48	agree
535.113.01	uvm_map_ext_size	1200	1200	agree
535.113.01	uvm_map_ext_fd_off	1184	1184	agree
535.113.01	uvm_sem_pool_size	1184	1184	agree
535.113.01	uvm_register_gpu_size	40	40	agree
535.113.01	uvm_register_gpu_fd_off	24	24	agree
535.113.01	uvm_register_gpu_status_off	36	36	agree
535.113.01	uvm_register_gpu_hclient_off	28	28	agree
535.113.01	uvm_register_gpu_hsmcpart_off	32	32	agree
535.113.01	chan_alloc_size	360	360	agree
535.113.01	vaspace_alloc_size	48	48	agree
535.113.01	mem_alloc_size	120	120	agree
535.113.01	nv00de_alloc_size	4	4	agree
535.113.01	nvos46_size	56	56	agree
535.113.01	nvos46_status_off	48	48	agree
535.129.03	uvm_map_ext_size	1200	1200	agree
535.129.03	uvm_map_ext_fd_off	1184	1184	agree
535.129.03	uvm_sem_pool_size	1184	1184	agree
535.129.03	uvm_register_gpu_size	40	40	agree
535.129.03	uvm_register_gpu_fd_off	24	24	agree
535.129.03	uvm_register_gpu_status_off	36	36	agree
535.129.03	uvm_register_gpu_hclient_off	28	28	agree
535.129.03	uvm_register_gpu_hsmcpart_off	32	32	agree
535.129.03	chan_alloc_size	360	360	agree
535.129.03	vaspace_alloc_size	48	48	agree
535.129.03	mem_alloc_size	120	120	agree
535.129.03	nv00de_alloc_size	4	4	agree
535.129.03	nvos46_size	56	56	agree
535.129.03	nvos46_status_off	48	48	agree
535.146.02	uvm_map_ext_size	1200	1200	agree
535.146.02	uvm_map_ext_fd_off	1184	1184	agree
535.146.02	uvm_sem_pool_size	1184	1184	agree
535.146.02	uvm_register_gpu_size	40	40	agree
535.146.02	uvm_register_gpu_fd_off	24	24	agree
535.146.02	uvm_register_gpu_status_off	36	36	agree
535.146.02	uvm_register_gpu_hclient_off	28	28	agree
535.146.02	uvm_register_gpu_hsmcpart_off	32	32	agree
535.146.02	chan_alloc_size	360	360	agree
535.146.02	vaspace_alloc_size	48	48	agree
535.146.02	mem_alloc_size	120	120	agree
535.146.02	nv00de_alloc_size	4	4	agree
535.146.02	nvos46_size	56	56	agree
535.146.02	nvos46_status_off	48	48	agree
535.154.05	uvm_map_ext_size	1200	1200	agree
535.154.05	uvm_map_ext_fd_off	1184	1184	agree
535.154.05	uvm_sem_pool_size	1184	1184	agree
535.154.05	uvm_register_gpu_size	40	40	agree
535.154.05	uvm_register_gpu_fd_off	24	24	agree
535.154.05	uvm_register_gpu_status_off	36	36	agree
535.154.05	uvm_register_gpu_hclient_off	28	28	agree
535.154.05	uvm_register_gpu_hsmcpart_off	32	32	agree
535.154.05	chan_alloc_size	360	360	agree
535.154.05	vaspace_alloc_size	48	48	agree
535.154.05	mem_alloc_size	120	120	agree
535.154.05	nv00de_alloc_size	4	4	agree
535.154.05	nvos46_size	56	56	agree
535.154.05	nvos46_status_off	48	48	agree
535.161.07	uvm_map_ext_size	1200	1200	agree
