# kind	item	first_tag	last_tag	value    (measured by tools/drivermatrix/dm.py; tags 535.309.01..615.71.09, 29 of them)
# tags	535.309.01 545.23.08 550.40.07 550.54.14 550.90.07 555.42.02 560.28.03 565.57.01 570.86.15 570.124.06 570.148.08 575.51.02 575.51.03 575.57.08 575.64.05 580.65.06 580.82.07 580.94.02 580.95.05 580.105.08 580.126.09 580.159.04 580.173.02 580.178.04 590.48.01 595.84 610.43.02 610.57.04 615.71.09
sizeof	GspFwWprMeta	535.309.01	615.71.09	0+256
field	GspFwWprMeta.<anon>	535.309.01	615.71.09	72+16
field	GspFwWprMeta.<anon>.<anon>	535.309.01	615.71.09	72+16
field	GspFwWprMeta.<anon>.<anon>.elfCodeOffset	535.309.01	615.71.09	220+4
field	GspFwWprMeta.<anon>.<anon>.elfCodeSize	535.309.01	615.71.09	228+4
field	GspFwWprMeta.<anon>.<anon>.elfDataOffset	535.309.01	615.71.09	224+4
field	GspFwWprMeta.<anon>.<anon>.elfDataSize	535.309.01	615.71.09	232+4
field	GspFwWprMeta.<anon>.<anon>.gspFwHeapFreeListWprOffset	535.309.01	615.71.09	72+4
field	GspFwWprMeta.<anon>.<anon>.lsUcodeVersion	535.309.01	615.71.09	236+4
field	GspFwWprMeta.<anon>.<anon>.lsUcodeVersionPadding	535.309.01	615.71.09	236+4@4
field	GspFwWprMeta.<anon>.<anon>.partitionRpcAddr	535.309.01	615.71.09	208+8
field	GspFwWprMeta.<anon>.<anon>.partitionRpcPadding	535.309.01	615.71.09	208+16@4
field	GspFwWprMeta.<anon>.<anon>.partitionRpcReplyOffset	535.309.01	615.71.09	218+2
field	GspFwWprMeta.<anon>.<anon>.partitionRpcRequestOffset	535.309.01	615.71.09	216+2
field	GspFwWprMeta.<anon>.<anon>.sizeOfCrashReportQueue	535.309.01	615.71.09	232+4
field	GspFwWprMeta.<anon>.<anon>.sizeOfSignature	535.309.01	615.71.09	80+8
field	GspFwWprMeta.<anon>.<anon>.sysmemAddrOfCrashReportQueue	535.309.01	615.71.09	224+8
field	GspFwWprMeta.<anon>.<anon>.sysmemAddrOfSignature	535.309.01	615.71.09	72+8
field	GspFwWprMeta.<anon>.<anon>.unused0	535.309.01	615.71.09	76+4
field	GspFwWprMeta.<anon>.<anon>.unused1	535.309.01	615.71.09	80+8
field	GspFwWprMeta.bootBinOffset	535.309.01	615.71.09	144+8
field	GspFwWprMeta.bootCount	535.309.01	615.71.09	200+8
field	GspFwWprMeta.bootloaderCodeOffset	535.309.01	615.71.09	48+8
field	GspFwWprMeta.bootloaderDataOffset	535.309.01	615.71.09	56+8
