# epoch_s  fb_used_MiB  gpu_util  qemu_rss_KiB  compute_apps
1786735582 36 0 1326512 1699963,0;
1786735583 36 0 1326512 1699963,0;
1786735584 36 0 1326512 1699963,0;
1786735585 36 0 1326512 1699963,0;
1786735587 36 0 1326512 1699963,0;
1786735588 36 0 1326512 1699963,0;
1786735589 36 0 1326512 1699963,0;
1786735590 36 0 1326512 1699963,0;
1786735591 36 0 1326512 1699963,0;
1786735592 36 0 1326512 1699963,0;
1786735593 36 0 1326512 1699963,0;
1786735595 36 0 1326512 1699963,0;
1786735596 36 0 1326512 1699963,0;
1786735597 36 0 1326512 1699963,0;
1786735598 36 0 1326512 1699963,0;
1786735599 36 0 1326512 1699963,0;
1786735600 36 0 1326512 1699963,0;
1786735601 36 0 1326512 1699963,0;
1786735603 36 0 1326512 1699963,0;
1786735604 36 0 1326512 1699963,0;
1786735605 36 0 1327792 1699963,0;
1786735606 36 0 1328048 1699963,0;
1786735607 36 0 1328048 1699963,0;
1786735608 36 0 1328048 1699963,0;
1786735609 36 0 1328048 1699963,0;
1786735611 36 0 1328048 1699963,0;
1786735612 36 0 1328048 1699963,0;
1786735613 36 0 1328048 1699963,0;
1786735614 36 0 1328048 1699963,0;
1786735615 36 0 1328048 1699963,0;
1786735616 36 0 1328048 1699963,0;
1786735617 36 0 1328048 1699963,0;
1786735619 36 0 1328048 1699963,0;
1786735620 36 0 1328048 1699963,0;
1786735621 36 0 1328048 1699963,0;
1786735622 36 0 1328048 1699963,0;
1786735623 36 0 1328048 1699963,0;
1786735624 36 0 1328048 1699963,0;
1786735626 36 0 1328048 1699963,0;
1786735627 36 0 1328048 1699963,0;
1786735628 36 0 1328048 1699963,0;
1786735629 36 0 1328048 1699963,0;
1786735630 36 0 1328048 1699963,0;
1786735631 36 0 1328048 1699963,0;
1786735632 36 0 1328048 1699963,0;
1786735634 36 0 1328048 1699963,0;
1786735635 36 0 1328048 1699963,0;
1786735636 36 0 1328048 1699963,0;
1786735637 36 0 1328048 1699963,0;
1786735638 36 0 1328048 1699963,0;
1786735639 36 0 1328048 1699963,0;
1786735640 36 0 1328048 1699963,0;
1786735642 36 0 1328048 1699963,0;
1786735643 36 0 1328048 1699963,0;
1786735644 36 0 1328048 1699963,0;
1786735645 36 0 1328048 1699963,0;
1786735646 36 0 1328048 1699963,0;
1786735647 36 0 1328048 1699963,0;
1786735648 36 0 1328048 1699963,0;
1786735650 36 0 1328048 1699963,0;
1786735651 36 0 1328048 1699963,0;
1786735652 36 0 1328048 1699963,0;
1786735653 36 0 1328048 1699963,0;
1786735654 36 0 1328048 1699963,0;
1786735655 36 0 1328048 1699963,0;
1786735657 36 0 1328048 1699963,0;
1786735658 36 0 1328048 1699963,0;
1786735659 36 0 1328048 1699963,0;
1786735660 36 0 1328048 1699963,0;
1786735661 36 0 1328048 1699963,0;
1786735662 36 0 1328048 1699963,0;
1786735663 36 0 1328048 1699963,0;
1786735665 36 0 1328048 1699963,0;
1786735666 36 0 1328048 1699963,0;
1786735667 36 0 1328048 1699963,0;
1786735668 36 0 1328048 1699963,0;
1786735669 36 0 1328048 1699963,0;
1786735670 36 0 1328816 1699963,0;
1786735671 36 0 1328816 1699963,0;
1786735673 36 0 1328816 1699963,0;
1786735674 36 0 1328816 1699963,0;
1786735675 36 0 1328816 1699963,0;
1786735676 36 0 1328944 1699963,0;
1786735677 36 0 1328944 1699963,0;
1786735678 36 0 1328944 1699963,0;
1786735680 36 0 1328944 1699963,0;
1786735681 36 0 1328944 1699963,0;
1786735682 36 0 1328944 1699963,0;
1786735683 36 0 1328944 1699963,0;
1786735684 36 0 1328944 1699963,0;
1786735685 36 0 1328944 1699963,0;
1786735686 36 0 1328944 1699963,0;
1786735688 36 0 1328944 1699963,0;
1786735689 36 0 1328944 1699963,0;
1786735690 36 0 1328944 1699963,0;
1786735691 36 0 1328944 1699963,0;
1786735692 36 0 1328944 1699963,0;
1786735693 36 0 1328944 1699963,0;
1786735694 36 0 1328944 1699963,0;
1786735696 36 0 1328944 1699963,0;
1786735697 36 0 1328944 1699963,0;
1786735698 36 0 1328944 1699963,0;
1786735699 36 0 1328944 1699963,0;
1786735700 36 0 1328944 1699963,0;
1786735701 36 0 1328944 1699963,0;
1786735702 36 0 1328944 1699963,0;
1786735704 36 0 1328944 1699963,0;
1786735705 36 0 1328944 1699963,0;
1786735706 36 0 1328944 1699963,0;
1786735707 36 0 1328944 1699963,0;
1786735708 36 0 1328944 1699963,0;
1786735709 36 0 1328944 1699963,0;
1786735710 36 0 1328944 1699963,0;
1786735712 36 0 1328944 1699963,0;
1786735713 36 0 1328944 1699963,0;
1786735714 36 0 1328944 1699963,0;
1786735715 36 0 1328944 1699963,0;
1786735716 36 0 1328944 1699963,0;
1786735717 36 0 1328944 1699963,0;
1786735719 36 0 1328944 1699963,0;
1786735720 36 0 1328944 1699963,0;
1786735721 36 0 1328944 1699963,0;
1786735722 36 0 1328944 1699963,0;
1786735723 36 0 1328944 1699963,0;
1786735724 36 0 1328944 1699963,0;
1786735725 36 0 1328944 1699963,0;
1786735727 36 0 1328944 1699963,0;
1786735728 36 0 1328944 1699963,0;
1786735729 36 0 1328944 1699963,0;
1786735730 36 0 1328944 1699963,0;
1786735731 36 0 1328944 1699963,0;
1786735732 36 0 1328944 1699963,0;
1786735733 36 0 1328944 1699963,0;
1786735735 36 0 1328944 1699963,0;
1786735736 36 0 1328944 1699963,0;
1786735737 36 0 1328944 1699963,0;
1786735738 36 0 1328944 1699963,0;
1786735739 36 0 1328944 1699963,0;
1786735740 36 0 1328944 1699963,0;
1786735741 36 0 1328944 1699963,0;
1786735743 36 0 1328944 1699963,0;
1786735744 36 0 1328944 1699963,0;
1786735745 36 0 1328944 1699963,0;
1786735746 36 0 1328944 1699963,0;
1786735747 36 0 1328944 1699963,0;
1786735748 36 0 1328944 1699963,0;
1786735749 36 0 1328944 1699963,0;
1786735751 36 0 1328944 1699963,0;
1786735752 36 0 1328944 1699963,0;
1786735753 36 0 1329072 1699963,0;
1786735754 36 0 1329072 1699963,0;
1786735755 36 0 1329072 1699963,0;
1786735756 36 0 1329072 1699963,0;
1786735757 36 0 1329072 1699963,0;
1786735759 36 0 1329072 1699963,0;
1786735760 36 0 1329072 1699963,0;
1786735761 36 0 1329072 1699963,0;
1786735762 36 0 1329072 1699963,0;
1786735763 36 0 1329072 1699963,0;
1786735764 36 0 1329072 1699963,0;
1786735766 36 0 1329072 1699963,0;
1786735767 36 0 1329072 1699963,0;
1786735768 36 0 1329072 1699963,0;
1786735769 36 0 1329072 1699963,0;
1786735770 36 0 1329072 1699963,0;
1786735771 36 0 1329072 1699963,0;
1786735772 36 0 1329072 1699963,0;
1786735774 36 0 1329072 1699963,0;
1786735775 36 0 1329072 1699963,0;
1786735776 36 0 1329200 1699963,0;
1786735777 36 0 1329200 1699963,0;
1786735778 36 0 1329200 1699963,0;
1786735779 36 0 1329200 1699963,0;
1786735780 36 0 1329200 1699963,0;
1786735782 36 0 1329200 1699963,0;
1786735783 36 0 1329200 1699963,0;
1786735784 36 0 1329200 1699963,0;
1786735785 36 0 1329200 1699963,0;
1786735786 36 0 1329200 1699963,0;
1786735787 36 0 1329200 1699963,0;
1786735789 36 0 1329200 1699963,0;
1786735790 36 0 1329200 1699963,0;
1786735791 36 0 1329200 1699963,0;
1786735792 36 0 1329200 1699963,0;
1786735793 36 0 1329200 1699963,0;
1786735794 36 0 1329200 1699963,0;
1786735795 36 0 1329200 1699963,0;
1786735797 36 0 1329200 1699963,0;
1786735798 36 0 1329200 1699963,0;
1786735799 36 0 1329200 1699963,0;
1786735800 36 0 1329200 1699963,0;
1786735801 36 0 1329200 1699963,0;
1786735802 36 0 1329200 1699963,0;
1786735803 36 0 1329200 1699963,0;
1786735805 36 0 1329200 1699963,0;
1786735806 36 0 1329200 1699963,0;
1786735807 36 0 1329200 1699963,0;
1786735808 36 0 1329200 1699963,0;
1786735809 36 0 1329200 1699963,0;
1786735810 36 0 1329200 1699963,0;
1786735811 36 0 1329200 1699963,0;
1786735813 36 0 1329200 1699963,0;
1786735814 36 0 1329200 1699963,0;
1786735815 36 0 1329200 1699963,0;
1786735816 36 0 1329200 1699963,0;
1786735817 36 0 1329200 1699963,0;
1786735818 36 0 1329200 1699963,0;
1786735819 36 0 1329200 1699963,0;
1786735821 36 0 1329200 1699963,0;
1786735822 36 0 1329200 1699963,0;
1786735823 36 0 1329200 1699963,0;
1786735824 36 0 1329200 1699963,0;
1786735825 36 0 1329200 1699963,0;
1786735826 36 0 1329200 1699963,0;
1786735827 36 0 1329200 1699963,0;
1786735829 36 0 1329200 1699963,0;
1786735830 36 0 1329200 1699963,0;
1786735831 36 0 1329200 1699963,0;
1786735832 36 0 1329200 1699963,0;
1786735833 36 0 1329200 1699963,0;
1786735834 36 0 1329200 1699963,0;
1786735836 36 0 1329200 1699963,0;
1786735837 36 0 1329200 1699963,0;
1786735838 36 0 1329200 1699963,0;
1786735839 36 0 1329200 1699963,0;
1786735840 36 0 1329200 1699963,0;
1786735841 36 0 1329200 1699963,0;
1786735842 36 0 1329200 1699963,0;
1786735844 36 0 1329200 1699963,0;
1786735845 36 0 1329200 1699963,0;
1786735846 36 0 1329200 1699963,0;
1786735847 36 0 1329200 1699963,0;
1786735848 36 0 1329200 1699963,0;
1786735849 36 0 1329200 1699963,0;
1786735851 36 0 1329200 1699963,0;
1786735852 36 0 1329328 1699963,0;
1786735853 36 0 1329328 1699963,0;
1786735854 36 0 1329328 1699963,0;
1786735855 36 0 1329328 1699963,0;
1786735856 36 0 1329328 1699963,0;
1786735857 36 0 1329328 1699963,0;
1786735859 36 0 1329328 1699963,0;
1786735860 36 0 1329328 1699963,0;
1786735861 36 0 1329328 1699963,0;
1786735862 36 0 1329328 1699963,0;
1786735863 36 0 1329328 1699963,0;
1786735864 36 0 1329328 1699963,0;
1786735866 36 0 1329328 1699963,0;
1786735867 36 0 1329328 1699963,0;
1786735868 36 0 1329328 1699963,0;
1786735869 36 0 1329328 1699963,0;
1786735870 36 0 1329328 1699963,0;
1786735871 36 0 1329328 1699963,0;
1786735873 36 0 1329328 1699963,0;
1786735874 36 0 1329328 1699963,0;
1786735875 36 0 1329328 1699963,0;
1786735876 36 0 1329328 1699963,0;
1786735877 36 0 1329328 1699963,0;
1786735878 36 0 1329328 1699963,0;
1786735879 36 0 1329328 1699963,0;
1786735881 36 0 1329328 1699963,0;
1786735882 36 0 1329328 1699963,0;
1786735883 36 0 1329328 1699963,0;
1786735884 36 0 1329328 1699963,0;
1786735885 36 0 1329328 1699963,0;
1786735886 36 0 1329328 1699963,0;
1786735888 36 0 1329328 1699963,0;
1786735889 36 0 1329328 1699963,0;
1786735890 36 0 1329328 1699963,0;
1786735891 36 0 1329328 1699963,0;
1786735892 36 0 1329328 1699963,0;
1786735893 36 0 1329328 1699963,0;
1786735895 36 0 1329328 1699963,0;
1786735896 36 0 1329328 1699963,0;
1786735897 36 0 1329328 1699963,0;
1786735898 36 0 1329328 1699963,0;
1786735899 36 0 1329328 1699963,0;
1786735900 36 0 1329328 1699963,0;
1786735901 36 0 1329328 1699963,0;
1786735903 36 0 1329328 1699963,0;
1786735904 36 0 1329328 1699963,0;
1786735905 36 0 1329328 1699963,0;
1786735906 36 0 1329328 1699963,0;
1786735907 36 0 1329328 1699963,0;
1786735908 36 0 1329328 1699963,0;
1786735910 36 0 1329328 1699963,0;
1786735911 36 0 1329328 1699963,0;
1786735912 36 0 1329328 1699963,0;
1786735913 36 0 1329328 1699963,0;
1786735914 36 0 1329328 1699963,0;
1786735915 36 0 1329328 1699963,0;
1786735917 36 0 1329328 1699963,0;
1786735918 36 0 1329328 1699963,0;
1786735919 36 0 1329328 1699963,0;
1786735920 36 0 1329328 1699963,0;
1786735921 36 0 1329328 1699963,0;
1786735922 36 0 1329328 1699963,0;
1786735923 36 0 1329328 1699963,0;
1786735925 36 0 1329584 1699963,0;
1786735926 36 0 1329584 1699963,0;
1786735927 36 0 1329584 1699963,0;
1786735928 36 0 1329584 1699963,0;
1786735929 36 0 1329584 1699963,0;
1786735930 36 0 1329584 1699963,0;
1786735932 36 0 1329584 1699963,0;
1786735933 36 0 1329584 1699963,0;
1786735934 36 0 1329584 1699963,0;
1786735935 36 0 1329584 1699963,0;
1786735936 36 0 1329584 1699963,0;
1786735937 36 0 1329584 1699963,0;
1786735939 36 0 1329584 1699963,0;
1786735940 36 0 1329584 1699963,0;
1786735941 36 0 1329584 1699963,0;
1786735942 36 0 1329584 1699963,0;
1786735943 36 0 1329584 1699963,0;
1786735944 36 0 1329584 1699963,0;
1786735946 36 0 1329584 1699963,0;
1786735947 36 0 1329584 1699963,0;
1786735948 36 0 1329584 1699963,0;
1786735949 36 0 1329584 1699963,0;
1786735950 36 0 1329584 1699963,0;
1786735951 36 0 1329584 1699963,0;
1786735953 36 0 1329584 1699963,0;
1786735954 36 0 1329584 1699963,0;
1786735955 36 0 1329584 1699963,0;
1786735956 36 0 1329584 1699963,0;
1786735957 36 0 1329584 1699963,0;
1786735958 36 0 1329584 1699963,0;
